Mineral Composition,Ag,Al,As,Au,Ba,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,Pb,S,Te,Ti,U,Zn,Zr,Assay Weight,WLS Starting Point
Other/Quartz,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
Feld_Alb_Na,0, 10.4, 0, 0, 0, 0, 0, 0.04, 0.24, 0.02, 0, 0, 8.21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
FeldsKBa,0, 9.85, 0, 0, 0.25, 0, 0, 0.08, 13.5, 0, 0.03, 0, 0.31, 0, 0, 0, 0, 0.03, 0, 0, 0, 1, 23
Feld_Plag,0, 15.3732, 0, 0, 0, 7.8908, 0, 0.199, 0.1423, 10.0012, 10.0065, 0, 3.8507, 0, 0, 0, 0, 0.002, 0, 0, 0,1,0
Carb_Calc,0, 0, 0, 0, 0, 40.04426534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,0
Carb_Ank,0, 0, 0, 0, 0, 20.0185592, 0, 12.55342226, 0, 6.071985112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0
Anhydrite,0, 0, 0, 0, 0, 29.44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.55, 0, 0, 0, 0, 0, 1,0
ChloriteFe,0, 9.6754, 0, 0, 0, 0.1066, 0, 20.3305, 0.0161, 9.3554, 0.0787, 0, 0.0455, 0, 0, 0, 0, 0.0163, 0, 0, 0, 1,0
Muscovite,0, 19.5, 0, 0, 0, 0, 0, 0.08, 8.37, 0.05, 0.093, 0, 0.47, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.5
BiotFe,0, 7.3702, 0, 0, 0, 0.1426, 0, 13.0428, 7.3473, 8.2094, 0.0686, 0, 0.0769, 0, 0, 0, 0, 0.9201, 0, 0, 0, 1,0
DOLOMITE,0, 0, 0, 0, 0, 21.73, 0, 0, 0, 13.18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0
Amph_Act,0, 1.5633, 0, 0, 0, 8.7168, 0, 12.7119, 0.1038, 8.065, 0.0905, 0, 0.204, 0, 0, 0, 0, 0.0574, 0, 0, 0, 1,0
Amph_aHorFe,0, 5.0515, 0, 0, 0, 8.269, 0, 10.3061, 0.5901, 8.2338, 0.2274, 0, 0.8272, 0, 0, 0, 0, 0.4134, 0, 0, 0, 1,0
Epid_LC,0, 12.5294, 0, 0, 0, 16.5257, 0, 9.494, 0, 0.0194, 0.1798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0
Magnetite,0, 0, 0, 0, 0, 0, 0, 72.34827478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,1
Apatite,0, 0, 0, 0, 0, 39.05798859, 0, 0, 0, 0, 0, 0, 0, 18.17529238, 0, 0, 0, 0, 0, 0, 0, 1,0
Chalcopyrite,0, 0, 0, 0, 0, 0, 34.5, 30.49887156, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1,0
Pyrite,0, 0, 0, 0, 0, 0, 0, 46.59103012, 0, 0, 0, 0, 0, 0, 0, 53.4, 0, 0, 0, 0, 0, 1,0
(NONE) Uraninite,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.15, 0, 0, 1,0
(NONE) Arsenopyrite,0, 0, 46, 0, 0, 0, 0, 34.3, 0, 0, 0, 0, 0, 0, 0, 19.7, 0, 0, 0, 0, 0, 1,0
Jarosite,0, 0, 0, 0, 0, 0, 0, 33.45, 7.81, 0, 0, 0, 0, 0, 0, 12.81, 0, 0, 0, 0, 0, 1,0
Molybdenite,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59.9, 0, 0, 0, 40.1, 0, 0, 0, 0, 0, 1,0
(NONE) Chalcocite,0, 0, 0, 0, 0, 0, 79.85, 0, 0, 0, 0, 0, 0, 0, 0, 20.15, 0, 0, 0, 0, 0, 1,0
(NONE) Sphene/titanite,0, 0, 0, 0, 0, 20.44022825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.46569855, 0, 0, 0, 1,1.2
TALC_w,0, 0, 0, 0, 0, 0, 0, 0, 0, 19.23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0
(NONE) Barite,0, 0, 0, 0, 58.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.74, 0, 0, 0, 0, 0, 1,0.1
Kaolinite,0, 20.75, 0, 0, 0, 0.04, 0, 0.16, 0.17, 0.04, 0, 0, 0.07, 0, 0, 0, 0, 0.05, 0, 0, 0, 1,1
Smectite/Montmorillonite,0, 9.44, 0, 0, 0, 0.49, 0, 2.23, 0.37, 1.87, 0.023, 0, 1.61, 0, 0, 0, 0, 0.04, 0, 0, 0, 1,5
Muscov_Phengite,0, 16.46, 0, 0, 0, 0, 0, 3.19, 9.14, 0.81, 0, 0, 0.08, 0, 0, 0, 0, 0.1, 0, 0, 0, 1,0.5
Tour_Fe,0, 13.07, 0, 0, 0, 1.43, 0, 9.21, 0.04, 5.23, 0, 0, 1.26, 0, 0, 0, 0, 1.51, 0, 0, 0, 1,0
NonSulfideCu_Chrysocolla,0, 2.05, 0, 0, 0, 0, 33.86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0
Vermiculite,0, 8.13, 0, 0, 0, 0, 0, 5.6, 0, 13.62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,4
Andalusite,0, 33.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0
Pyrophyllite,0, 14.98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0
Pyroxene,0, 0, 0, 0, 0, 17.25, 0, 12.02, 0, 5.23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0
Anthophyllite,0, 1.12, 0, 0, 0, 0.69, 0, 11.57, 0.04, 23.97, 0.25, 0, 0.24, 0, 0, 0, 0, 0.21, 0, 0, 0, 1,0
